cn_name,en_name,action_category_cn,action_category_en,job_abbrs,job_names_cn,job_names_en,levels,action_ids,source_sheets,is_role_action,is_pvp
升腾火焰,Rising Flames,能力,Ability,ACN;ALC;ARC;ARM;AST;BLM;BLU;BRD;BSM;BTN;CNJ;CRP;CUL;DNC;DRG;DRK;FSH;GLA;GNB;GSM;LNC;LTW;MCH;MIN;MNK;MRD;NIN;PCT;PGL;PLD;RDM;ROG;RPR;SAM;SCH;SGE;SMN;THM;VPR;WAR;WHM;WVR,制革匠;刻木匠;剑术师;占星术士;双剑师;召唤师;吟游诗人;咒术师;园艺工;学者;幻术师;弓箭手;忍者;战士;捕鱼人;斧术师;暗黑骑士;机工士;枪术师;格斗家;武僧;武士;炼金术士;烹调师;白魔法师;秘术师;绘灵法师;绝枪战士;舞者;蝰蛇剑士;裁衣匠;贤者;赤魔法师;采矿工;钐镰客;铸甲匠;锻铁匠;雕金匠;青魔法师;骑士;黑魔法师;龙骑士,Alchemist;Arcanist;Archer;Armorer;Astrologian;Bard;Black Mage;Blacksmith;Blue Mage;Botanist;Carpenter;Conjurer;Culinarian;Dancer;Dark Knight;Dragoon;Fisher;Gladiator;Goldsmith;Gunbreaker;Lancer;Leatherworker;Machinist;Marauder;Miner;Monk;Ninja;Paladin;Pictomancer;Pugilist;Reaper;Red Mage;Rogue;Sage;Samurai;Scholar;Summoner;Thaumaturge;Viper;Warrior;Weaver;White Mage,1,34790,Action,False,False
醒梦,Lucid Dreaming,能力,Ability,ACN;AST;BLM;BLU;CNJ;PCT;RDM;SCH;SGE;SMN;THM;WHM,占星术士;召唤师;咒术师;学者;幻术师;白魔法师;秘术师;绘灵法师;贤者;赤魔法师;青魔法师;黑魔法师,Arcanist;Astrologian;Black Mage;Blue Mage;Conjurer;Pictomancer;Red Mage;Sage;Scholar;Summoner;Thaumaturge;White Mage,14,7562,Action,True,False
即刻咏唱,Swiftcast,能力,Ability,ACN;AST;BLM;BLU;CNJ;PCT;RDM;SCH;SGE;SMN;THM;WHM,占星术士;召唤师;咒术师;学者;幻术师;白魔法师;秘术师;绘灵法师;贤者;赤魔法师;青魔法师;黑魔法师,Arcanist;Astrologian;Black Mage;Blue Mage;Conjurer;Pictomancer;Red Mage;Sage;Scholar;Summoner;Thaumaturge;White Mage,18,7561,Action,True,False
沉稳咏唱,Surecast,能力,Ability,ACN;AST;BLM;BLU;CNJ;PCT;RDM;SCH;SGE;SMN;THM;WHM,占星术士;召唤师;咒术师;学者;幻术师;白魔法师;秘术师;绘灵法师;贤者;赤魔法师;青魔法师;黑魔法师,Arcanist;Astrologian;Black Mage;Blue Mage;Conjurer;Pictomancer;Red Mage;Sage;Scholar;Summoner;Thaumaturge;White Mage,44,7559,Action,True,False
昏乱,Addle,能力,Ability,ACN;BLM;BLU;PCT;RDM;SMN;THM,召唤师;咒术师;秘术师;绘灵法师;赤魔法师;青魔法师;黑魔法师,Arcanist;Black Mage;Blue Mage;Pictomancer;Red Mage;Summoner;Thaumaturge,8,7560,Action,True,False
催眠,Sleep,魔法,Spell,ACN;BLM;BLU;PCT;RDM;SMN;THM,召唤师;咒术师;秘术师;绘灵法师;赤魔法师;青魔法师;黑魔法师,Arcanist;Black Mage;Blue Mage;Pictomancer;Red Mage;Summoner;Thaumaturge,10,25880,Action,True,False
毁灭,Ruin,魔法,Spell,ACN;SCH,学者;秘术师,Arcanist;Scholar,1,163;17869,Action,False,False
医术,Physick,魔法,Spell,ACN;SCH,学者;秘术师,Arcanist;Scholar,4,16230;190,Action,False,False
能量吸收,Energy Drain,能力,Ability,ACN;SCH,学者;秘术师,Arcanist;Scholar,10;45,16508;167,Action,False,False
毁坏,Ruin II,魔法,Spell,ACN;SCH,学者;秘术师,Arcanist;Scholar,30;38,172;17870,Action,False,False
守护之光,Radiant Aegis,能力,Ability,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,2,25799;25841,Action,False,False
红宝石之辉,Glittering Ruby,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,6,25843,Action,False,False
红宝石毁灭,Ruby Ruin,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,6,25808,Action,False,False
黄宝石之辉,Glittering Topaz,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,15,25844,Action,False,False
黄宝石毁灭,Topaz Ruin,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,15,25809,Action,False,False
绿宝石毁灭,Emerald Ruin,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,22,25810,Action,False,False
绿宝石之辉,Glittering Emerald,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,22,25845,Action,False,False
绿宝石迸裂,Emerald Outburst,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,26,25816,Action,False,False
红宝石迸裂,Ruby Outburst,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,26,25814,Action,False,False
黄宝石迸裂,Topaz Outburst,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,26,25815,Action,False,False
绿宝石毁坏,Emerald Ruin II,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,30,25813,Action,False,False
红宝石毁坏,Ruby Ruin II,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,30,25811,Action,False,False
黄宝石毁坏,Topaz Ruin II,魔法,Spell,ACN;SMN,召唤师;秘术师,Arcanist;Summoner,30,25812,Action,False,False
奇迹之材,Material Miracle,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,0,41269,Action,False,False
宇宙稳手,Stellar Steady Hand,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,0,46843,Action,False,False
制作,Basic Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,1,100001;100015;100030;100075;100045;100060;100090;100105,CraftAction,False,False
收尾,Finishing Touches,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,1,100177,CraftAction,False,False
加工,Basic Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,5,100002;100016;100031;100076;100046;100061;100091;100106,CraftAction,False,False
精修,Master's Mend,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,7,100003;100017;100032;100077;100047;100062;100092;100107,CraftAction,False,False
仓促,Hasty Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,9,100355;100356;100357;100358;100359;100360;100361;100362,CraftAction,False,False
高速制作,Rapid Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,9,100363;100364;100365;100366;100367;100368;100369;100370,CraftAction,False,False
观察,Observe,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,13,100010;100023;100040;100082;100053;100070;100099;100113,CraftAction,False,False
秘诀,Tricks of the Trade,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,13,100371;100372;100373;100374;100375;100376;100377;100378,CraftAction,False,False
崇敬,Veneration,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,15,19297;19298;19299;19300;19301;19302;19303;19304,Action,False,False
俭约,Waste Not,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,15,4631;4632;4633;4634;4635;4636;4637;4638,Action,False,False
中级加工,Standard Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,18,100004;100018;100034;100078;100048;100064;100093;100109,CraftAction,False,False
阔步,Great Strides,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,21,260;261;262;263;265;264;266;267,Action,False,False
改革,Innovation,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,26,19004;19005;19006;19007;19008;19009;19010;19011,Action,False,False
最终确认,Final Appraisal,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,42,19012;19013;19014;19015;19016;19017;19018;19019,Action,False,False
长期俭约,Waste Not II,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,47,4639;4640;4641;4642;4643;4644;19002;19003,Action,False,False
比尔格的祝福,Byregot's Blessing,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,50,100339;100340;100341;100342;100343;100344;100345;100346,CraftAction,False,False
集中加工,Precise Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,53,100128;100129;100130;100131;100132;100133;100134;100135,CraftAction,False,False
坚信,Muscle Memory,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,54,100379;100380;100381;100382;100383;100384;100385;100386,CraftAction,False,False
设计变动,Careful Observation,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,55,100395;100396;100397;100398;100399;100400;100401;100402,CraftAction,False,False
模范制作,Careful Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,62,100203;100204;100205;100206;100207;100208;100209;100210,CraftAction,False,False
掌握,Manipulation,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,65,4574;4575;4576;4577;4578;4579;4580;4581,Action,False,False
俭约加工,Prudent Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,66,100227;100228;100229;100230;100231;100232;100233;100234,CraftAction,False,False
上级加工,Advanced Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,68,100411;100412;100413;100414;100415;100416;100417;100418,CraftAction,False,False
闲静,Reflect,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,69,100387;100388;100389;100390;100391;100392;100393;100394,CraftAction,False,False
坯料加工,Preparatory Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,71,100299;100300;100301;100302;100303;100304;100305;100306,CraftAction,False,False
坯料制作,Groundwork,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,72,100403;100404;100405;100406;100407;100408;100409;100410,CraftAction,False,False
精密制作,Delicate Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,76,100323;100324;100325;100326;100327;100328;100329;100330,CraftAction,False,False
集中制作,Intensive Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,78,100315;100316;100317;100318;100319;100320;100321;100322,CraftAction,False,False
工匠的神速技巧,Trained Eye,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,80,100283;100284;100285;100286;100287;100288;100289;100290,CraftAction,False,False
专心致志,Heart and Soul,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,86,100419;100420;100421;100422;100423;100424;100425;100426,CraftAction,False,False
俭约制作,Prudent Synthesis,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,88,100427;100428;100429;100430;100431;100432;100433;100434,CraftAction,False,False
工匠的神技,Trained Finesse,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,90,100435;100436;100437;100438;100439;100440;100441;100442,CraftAction,False,False
精炼加工,Refined Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,92,100443;100444;100445;100446;100447;100448;100449;100450,CraftAction,False,False
冒进,Daring Touch,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,96,100451;100452;100453;100454;100455;100456;100457;100458,CraftAction,False,False
快速改革,Quick Innovation,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,96,100459;100460;100461;100462;100463;100464;100465;100466,CraftAction,False,False
巧夺天工,Immaculate Mend,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,98,100467;100468;100469;100470;100471;100472;100473;100474,CraftAction,False,False
工匠的绝技,Trained Perfection,制作能力,DoH Ability,ALC;ARM;BSM;CRP;CUL;GSM;LTW;WVR,制革匠;刻木匠;炼金术士;烹调师;裁衣匠;铸甲匠;锻铁匠;雕金匠,Alchemist;Armorer;Blacksmith;Carpenter;Culinarian;Goldsmith;Leatherworker;Weaver,100,100475;100476;100477;100478;100479;100480;100481;100482,CraftAction,False,False
强力射击,Heavy Shot,战技,Weaponskill,ARC,弓箭手,Archer,1,97,Action,False,False
直线射击,Straight Shot,战技,Weaponskill,ARC,弓箭手,Archer,2,98,Action,False,False
猛者强击,Raging Strikes,能力,Ability,ARC,弓箭手,Archer,4,101,Action,False,False
毒咬箭,Venomous Bite,战技,Weaponskill,ARC,弓箭手,Archer,6,100,Action,False,False
失血箭,Bloodletter,能力,Ability,ARC,弓箭手,Archer,12,110,Action,False,False
后跃射击,Repelling Shot,能力,Ability,ARC,弓箭手,Archer,15,112,Action,False,False
连珠箭,Quick Nock,战技,Weaponskill,ARC,弓箭手,Archer,18,106,Action,False,False
广域群射,Wide Volley,战技,Weaponskill,ARC,弓箭手,Archer,25,36974,Action,False,False
风蚀箭,Windbite,战技,Weaponskill,ARC,弓箭手,Archer,30,113,Action,False,False
纷乱箭,Barrage,能力,Ability,ARC,弓箭手,Archer,38,107,Action,False,False
亲疏自行,Arm's Length,能力,Ability,ARC;BRD;DNC;DRG;DRK;GLA;GNB;LNC;MCH;MNK;MRD;NIN;PGL;PLD;ROG;RPR;SAM;VPR;WAR,剑术师;双剑师;吟游诗人;弓箭手;忍者;战士;斧术师;暗黑骑士;机工士;枪术师;格斗家;武僧;武士;绝枪战士;舞者;蝰蛇剑士;钐镰客;骑士;龙骑士,Archer;Bard;Dancer;Dark Knight;Dragoon;Gladiator;Gunbreaker;Lancer;Machinist;Marauder;Monk;Ninja;Paladin;Pugilist;Reaper;Rogue;Samurai;Viper;Warrior,32,7548,Action,True,False
内丹,Second Wind,能力,Ability,ARC;BRD;DNC;DRG;LNC;MCH;MNK;NIN;PGL;ROG;RPR;SAM;VPR,双剑师;吟游诗人;弓箭手;忍者;机工士;枪术师;格斗家;武僧;武士;舞者;蝰蛇剑士;钐镰客;龙骑士,Archer;Bard;Dancer;Dragoon;Lancer;Machinist;Monk;Ninja;Pugilist;Reaper;Rogue;Samurai;Viper,8,7541,Action,True,False
伤腿,Leg Graze,能力,Ability,ARC;BRD;DNC;MCH,吟游诗人;弓箭手;机工士;舞者,Archer;Bard;Dancer;Machinist,6,7554,Action,True,False
伤足,Foot Graze,能力,Ability,ARC;BRD;DNC;MCH,吟游诗人;弓箭手;机工士;舞者,Archer;Bard;Dancer;Machinist,10,7553,Action,True,False
速行,Peloton,能力,Ability,ARC;BRD;DNC;MCH,吟游诗人;弓箭手;机工士;舞者,Archer;Bard;Dancer;Machinist,20,7557,Action,True,False
伤头,Head Graze,能力,Ability,ARC;BRD;DNC;MCH,吟游诗人;弓箭手;机工士;舞者,Archer;Bard;Dancer;Machinist,24,7551,Action,True,False
吉星相位,Aspected Benefic,魔法,Spell,AST,占星术士,Astrologian,0,29243,Action,False,True
星河漫天,Celestial River,极限技,Limit Break,AST,占星术士,Astrologian,0,29255,Action,False,True
双重咏唱,Double Cast,能力,Ability,AST,占星术士,Astrologian,0,29245,Action,False,True
本轮,Epicycle,能力,Ability,AST,占星术士,Astrologian,0,41506,Action,False,True
落陷凶星,Fall Malefic,魔法,Spell,AST,占星术士,Astrologian,0,29242,Action,False,True
中重力,Gravity II,魔法,Spell,AST,占星术士,Astrologian,0,29244,Action,False,True
大宇宙,Macrocosmos,魔法,Spell,AST,占星术士,Astrologian,0,29253,Action,False,True
小奥秘卡,Minor Arcana,能力,Ability,AST,占星术士,Astrologian,0,41503,Action,False,True
凶星,Malefic,魔法,Spell,AST,占星术士,Astrologian,1,3596,Action,False,False
吉星,Benefic,魔法,Spell,AST,占星术士,Astrologian,2,3594,Action,False,False
烧灼,Combust,魔法,Spell,AST,占星术士,Astrologian,4,3599,Action,False,False
光速,Lightspeed,能力,Ability,AST,占星术士,Astrologian,6,3606,Action,False,False
阳星,Helios,魔法,Spell,AST,占星术士,Astrologian,10,3600,Action,False,False
生辰,Ascend,魔法,Spell,AST,占星术士,Astrologian,12,3603,Action,False,False
