source_sheet,action_id,cn_name,en_name,action_category_cn,action_category_en,classjob_id,classjob_category_id,level,job_abbrs,job_names_cn,job_names_en,is_role_action,is_player_action,is_pvp
Action,7381,全蚀斩,Total Eclipse,战技,Weaponskill,1,38,6,GLA,剑术师,Gladiator,False,True,False
Action,7531,铁壁,Rampart,能力,Ability,-1,113,8,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,28,钢铁信念,Iron Will,能力,Ability,1,38,10,GLA,剑术师,Gladiator,False,True,False
Action,32065,解除钢铁信念,Release Iron Will,能力,Ability,0,38,10,GLA;PLD,剑术师;骑士,Gladiator;Paladin,False,False,False
Action,16,盾牌猛击,Shield Bash,战技,Weaponskill,1,38,10,GLA,剑术师,Gladiator,False,True,False
Action,7540,下踢,Low Blow,能力,Ability,-1,113,12,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,7533,挑衅,Provoke,能力,Ability,-1,113,15,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,24,投盾,Shield Lob,战技,Weaponskill,1,38,15,GLA,剑术师,Gladiator,False,True,False
Action,7538,插言,Interject,能力,Ability,-1,113,18,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,7535,雪仇,Reprisal,能力,Ability,-1,113,22,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,21,战女神之怒,Rage of Halone,战技,Weaponskill,1,38,26,GLA,剑术师,Gladiator,False,True,False
Action,7548,亲疏自行,Arm's Length,能力,Ability,-1,161,32,GLA;PGL;MRD;LNC;ARC;PLD;MNK;WAR;DRG;BRD;ROG;NIN;MCH;DRK;SAM;GNB;DNC;RPR;VPR,剑术师;格斗家;斧术师;枪术师;弓箭手;骑士;武僧;战士;龙骑士;吟游诗人;双剑师;忍者;机工士;暗黑骑士;武士;绝枪战士;舞者;钐镰客;蝰蛇剑士,Gladiator;Pugilist;Marauder;Lancer;Archer;Paladin;Monk;Warrior;Dragoon;Bard;Rogue;Ninja;Machinist;Dark Knight;Samurai;Gunbreaker;Dancer;Reaper;Viper,True,True,False
Action,17,预警,Sentinel,能力,Ability,1,38,38,GLA,剑术师,Gladiator,False,True,False
Action,7537,退避,Shirk,能力,Ability,-1,113,48,GLA;MRD;PLD;WAR;DRK;GNB,剑术师;斧术师;骑士;战士;暗黑骑士;绝枪战士,Gladiator;Marauder;Paladin;Warrior;Dark Knight;Gunbreaker,True,True,False
Action,23,厄运流转,Circle of Scorn,能力,Ability,1,38,50,GLA,剑术师,Gladiator,False,True,False
Action,53,连击,Bootshine,战技,Weaponskill,2,41,1,PGL,格斗家,Pugilist,False,True,False
Action,54,正拳,True Strike,战技,Weaponskill,2,41,4,PGL,格斗家,Pugilist,False,True,False
Action,56,崩拳,Snap Punch,战技,Weaponskill,2,41,6,PGL,格斗家,Pugilist,False,True,False
Action,7541,内丹,Second Wind,能力,Ability,-1,118,8,PGL;LNC;ARC;MNK;DRG;BRD;ROG;NIN;MCH;SAM;DNC;RPR;VPR,格斗家;枪术师;弓箭手;武僧;龙骑士;吟游诗人;双剑师;忍者;机工士;武士;舞者;钐镰客;蝰蛇剑士,Pugilist;Lancer;Archer;Monk;Dragoon;Bard;Rogue;Ninja;Machinist;Samurai;Dancer;Reaper;Viper,True,True,False
Action,7863,扫腿,Leg Sweep,能力,Ability,-1,114,10,PGL;LNC;MNK;DRG;ROG;NIN;SAM;RPR;VPR,格斗家;枪术师;武僧;龙骑士;双剑师;忍者;武士;钐镰客;蝰蛇剑士,Pugilist;Lancer;Monk;Dragoon;Rogue;Ninja;Samurai;Reaper;Viper,True,True,False
Action,7542,浴血,Bloodbath,能力,Ability,-1,114,12,PGL;LNC;MNK;DRG;ROG;NIN;SAM;RPR;VPR,格斗家;枪术师;武僧;龙骑士;双剑师;忍者;武士;钐镰客;蝰蛇剑士,Pugilist;Lancer;Monk;Dragoon;Rogue;Ninja;Samurai;Reaper;Viper,True,True,False
Action,25761,铁山靠,Steel Peak,能力,Ability,2,41,15,PGL,格斗家,Pugilist,False,True,False
Action,36940,铁山斗气,Steeled Meditation,能力,Ability,2,41,15,PGL,格斗家,Pugilist,False,True,False
Action,61,双掌打,Twin Snakes,战技,Weaponskill,2,41,18,PGL,格斗家,Pugilist,False,True,False
Action,7549,牵制,Feint,能力,Ability,-1,114,22,PGL;LNC;MNK;DRG;ROG;NIN;SAM;RPR;VPR,格斗家;枪术师;武僧;龙骑士;双剑师;忍者;武士;钐镰客;蝰蛇剑士,Pugilist;Lancer;Monk;Dragoon;Rogue;Ninja;Samurai;Reaper;Viper,True,True,False
Action,62,破坏神冲,Arm of the Destroyer,战技,Weaponskill,2,41,26,PGL,格斗家,Pugilist,False,True,False
Action,66,破碎拳,Demolish,战技,Weaponskill,2,41,30,PGL,格斗家,Pugilist,False,True,False
Action,65,真言,Mantra,能力,Ability,2,41,42,PGL,格斗家,Pugilist,False,True,False
Action,74,双龙脚,Dragon Kick,战技,Weaponskill,2,41,50,PGL,格斗家,Pugilist,False,True,False
Action,7546,真北,True North,能力,Ability,-1,114,50,PGL;LNC;MNK;DRG;ROG;NIN;SAM;RPR;VPR,格斗家;枪术师;武僧;龙骑士;双剑师;忍者;武士;钐镰客;蝰蛇剑士,Pugilist;Lancer;Monk;Dragoon;Rogue;Ninja;Samurai;Reaper;Viper,True,True,False
Action,31,重劈,Heavy Swing,战技,Weaponskill,3,44,1,MRD,斧术师,Marauder,False,True,False
Action,37,凶残裂,Maim,战技,Weaponskill,3,44,4,MRD,斧术师,Marauder,False,True,False
Action,38,狂暴,Berserk,能力,Ability,3,44,6,MRD,斧术师,Marauder,False,True,False
Action,48,守护,Defiance,能力,Ability,3,44,10,MRD,斧术师,Marauder,False,True,False
Action,41,超压斧,Overpower,战技,Weaponskill,3,44,10,MRD,斧术师,Marauder,False,True,False
Action,32066,解除守护,Release Defiance,能力,Ability,0,44,10,MRD;WAR,斧术师;战士,Marauder;Warrior,False,False,False
Action,46,飞斧,Tomahawk,战技,Weaponskill,3,44,15,MRD,斧术师,Marauder,False,True,False
Action,42,暴风斩,Storm's Path,战技,Weaponskill,3,44,26,MRD,斧术师,Marauder,False,True,False
Action,40,战栗,Thrill of Battle,能力,Ability,3,44,30,MRD,斧术师,Marauder,False,True,False
Action,44,复仇,Vengeance,能力,Ability,3,44,38,MRD,斧术师,Marauder,False,True,False
Action,43,死斗,Holmgang,能力,Ability,3,44,42,MRD,斧术师,Marauder,False,True,False
Action,45,暴风碎,Storm's Eye,战技,Weaponskill,3,44,50,MRD,斧术师,Marauder,False,True,False
Action,75,精准刺,True Thrust,战技,Weaponskill,4,47,1,LNC,枪术师,Lancer,False,True,False
Action,78,贯通刺,Vorpal Thrust,战技,Weaponskill,4,47,4,LNC,枪术师,Lancer,False,True,False
Action,83,龙剑,Life Surge,能力,Ability,4,47,6,LNC,枪术师,Lancer,False,True,False
Action,90,贯穿尖,Piercing Talon,战技,Weaponskill,4,47,15,LNC,枪术师,Lancer,False,True,False
Action,87,开膛枪,Disembowel,战技,Weaponskill,4,47,18,LNC,枪术师,Lancer,False,True,False
Action,84,直刺,Full Thrust,战技,Weaponskill,4,47,26,LNC,枪术师,Lancer,False,True,False
Action,85,猛枪,Lance Charge,能力,Ability,4,47,30,LNC,枪术师,Lancer,False,True,False
Action,88,樱花怒放,Chaos Thrust,战技,Weaponskill,4,47,50,LNC,枪术师,Lancer,False,True,False
Action,97,强力射击,Heavy Shot,战技,Weaponskill,5,50,1,ARC,弓箭手,Archer,False,True,False
Action,98,直线射击,Straight Shot,战技,Weaponskill,5,50,2,ARC,弓箭手,Archer,False,True,False
Action,101,猛者强击,Raging Strikes,能力,Ability,5,50,4,ARC,弓箭手,Archer,False,True,False
Action,7554,伤腿,Leg Graze,能力,Ability,-1,115,6,ARC;BRD;MCH;DNC,弓箭手;吟游诗人;机工士;舞者,Archer;Bard;Machinist;Dancer,True,True,False
Action,100,毒咬箭,Venomous Bite,战技,Weaponskill,5,50,6,ARC,弓箭手,Archer,False,True,False
Action,7553,伤足,Foot Graze,能力,Ability,-1,115,10,ARC;BRD;MCH;DNC,弓箭手;吟游诗人;机工士;舞者,Archer;Bard;Machinist;Dancer,True,True,False
Action,110,失血箭,Bloodletter,能力,Ability,5,50,12,ARC,弓箭手,Archer,False,True,False
Action,112,后跃射击,Repelling Shot,能力,Ability,5,50,15,ARC,弓箭手,Archer,False,True,False
Action,106,连珠箭,Quick Nock,战技,Weaponskill,5,50,18,ARC,弓箭手,Archer,False,True,False
Action,7557,速行,Peloton,能力,Ability,-1,115,20,ARC;BRD;MCH;DNC,弓箭手;吟游诗人;机工士;舞者,Archer;Bard;Machinist;Dancer,True,True,False
Action,7551,伤头,Head Graze,能力,Ability,-1,115,24,ARC;BRD;MCH;DNC,弓箭手;吟游诗人;机工士;舞者,Archer;Bard;Machinist;Dancer,True,True,False
Action,36974,广域群射,Wide Volley,战技,Weaponskill,5,50,25,ARC,弓箭手,Archer,False,True,False
Action,113,风蚀箭,Windbite,战技,Weaponskill,5,50,30,ARC,弓箭手,Archer,False,True,False
Action,107,纷乱箭,Barrage,能力,Ability,5,50,38,ARC,弓箭手,Archer,False,True,False
Action,119,飞石,Stone,魔法,Spell,6,53,1,CNJ,幻术师,Conjurer,False,True,False
Action,120,治疗,Cure,魔法,Spell,6,53,2,CNJ,幻术师,Conjurer,False,True,False
Action,121,疾风,Aero,魔法,Spell,6,53,4,CNJ,幻术师,Conjurer,False,True,False
Action,16560,沉静,Repose,魔法,Spell,-1,117,8,CNJ;WHM;SCH;AST;SGE,幻术师;白魔法师;学者;占星术士;贤者,Conjurer;White Mage;Scholar;Astrologian;Sage,True,True,False
Action,7568,康复,Esuna,魔法,Spell,-1,117,10,CNJ;WHM;SCH;AST;SGE,幻术师;白魔法师;学者;占星术士;贤者,Conjurer;White Mage;Scholar;Astrologian;Sage,True,True,False
Action,124,医治,Medica,魔法,Spell,6,53,10,CNJ,幻术师,Conjurer,False,True,False
Action,125,复活,Raise,魔法,Spell,6,53,12,CNJ,幻术师,Conjurer,False,True,False
Action,7562,醒梦,Lucid Dreaming,能力,Ability,-1,120,14,CNJ;THM;WHM;BLM;ACN;SMN;SCH;AST;RDM;BLU;SGE;PCT,幻术师;咒术师;白魔法师;黑魔法师;秘术师;召唤师;学者;占星术士;赤魔法师;青魔法师;贤者;绘灵法师,Conjurer;Thaumaturge;White Mage;Black Mage;Arcanist;Summoner;Scholar;Astrologian;Red Mage;Blue Mage;Sage;Pictomancer,True,True,False
Action,127,坚石,Stone II,魔法,Spell,6,53,18,CNJ,幻术师,Conjurer,False,True,False
Action,7561,即刻咏唱,Swiftcast,能力,Ability,-1,120,18,CNJ;THM;WHM;BLM;ACN;SMN;SCH;AST;RDM;BLU;SGE;PCT,幻术师;咒术师;白魔法师;黑魔法师;秘术师;召唤师;学者;占星术士;赤魔法师;青魔法师;贤者;绘灵法师,Conjurer;Thaumaturge;White Mage;Black Mage;Arcanist;Summoner;Scholar;Astrologian;Red Mage;Blue Mage;Sage;Pictomancer,True,True,False
Action,135,救疗,Cure II,魔法,Spell,6,53,30,CNJ,幻术师,Conjurer,False,True,False
Action,7559,沉稳咏唱,Surecast,能力,Ability,-1,120,44,CNJ;THM;WHM;BLM;ACN;SMN;SCH;AST;RDM;BLU;SGE;PCT,幻术师;咒术师;白魔法师;黑魔法师;秘术师;召唤师;学者;占星术士;赤魔法师;青魔法师;贤者;绘灵法师,Conjurer;Thaumaturge;White Mage;Black Mage;Arcanist;Summoner;Scholar;Astrologian;Red Mage;Blue Mage;Sage;Pictomancer,True,True,False
Action,132,烈风,Aero II,魔法,Spell,6,53,46,CNJ,幻术师,Conjurer,False,True,False
Action,7571,营救,Rescue,能力,Ability,-1,117,48,CNJ;WHM;SCH;AST;SGE,幻术师;白魔法师;学者;占星术士;贤者,Conjurer;White Mage;Scholar;Astrologian;Sage,True,True,False
Action,133,医济,Medica II,魔法,Spell,6,53,50,CNJ,幻术师,Conjurer,False,True,False
Action,142,冰结,Blizzard,魔法,Spell,7,55,1,THM,咒术师,Thaumaturge,False,True,False
Action,141,火炎,Fire,魔法,Spell,7,55,2,THM,咒术师,Thaumaturge,False,True,False
Action,149,星灵移位,Transpose,能力,Ability,7,55,4,THM,咒术师,Thaumaturge,False,True,False
Action,144,闪雷,Thunder,魔法,Spell,7,55,6,THM,咒术师,Thaumaturge,False,True,False
Action,7560,昏乱,Addle,能力,Ability,-1,116,8,THM;BLM;ACN;SMN;RDM;BLU;PCT,咒术师;黑魔法师;秘术师;召唤师;赤魔法师;青魔法师;绘灵法师,Thaumaturge;Black Mage;Arcanist;Summoner;Red Mage;Blue Mage;Pictomancer,True,True,False
Action,25880,催眠,Sleep,魔法,Spell,-1,116,10,THM;BLM;ACN;SMN;RDM;BLU;PCT,咒术师;黑魔法师;秘术师;召唤师;赤魔法师;青魔法师;绘灵法师,Thaumaturge;Black Mage;Arcanist;Summoner;Red Mage;Blue Mage;Pictomancer,True,True,False
Action,25793,冰冻,Blizzard II,魔法,Spell,7,55,12,THM,咒术师,Thaumaturge,False,True,False
Action,156,崩溃,Scathe,魔法,Spell,7,55,15,THM,咒术师,Thaumaturge,False,True,False
Action,147,烈炎,Fire II,魔法,Spell,7,55,18,THM,咒术师,Thaumaturge,False,True,False
Action,7447,震雷,Thunder II,魔法,Spell,7,55,26,THM,咒术师,Thaumaturge,False,True,False
Action,157,魔罩,Manaward,能力,Ability,7,55,30,THM,咒术师,Thaumaturge,False,True,False
Action,152,爆炎,Fire III,魔法,Spell,7,55,35,THM,咒术师,Thaumaturge,False,True,False
Action,155,以太步,Aetherial Manipulation,能力,Ability,7,55,50,THM,咒术师,Thaumaturge,False,True,False
Action,41269,奇迹之材,Material Miracle,制作能力,DoH Ability,-1,33,0,CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL,刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师,Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian,False,True,False
Action,46843,宇宙稳手,Stellar Steady Hand,制作能力,DoH Ability,-1,33,0,CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL,刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师,Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian,False,True,False
CraftAction,100001,制作,Basic Synthesis,制作能力,DoH Ability,8,9,1,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100177,收尾,Finishing Touches,制作能力,DoH Ability,-1,33,1,CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL,刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师,Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian,False,True,False
CraftAction,100002,加工,Basic Touch,制作能力,DoH Ability,8,9,5,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100003,精修,Master's Mend,制作能力,DoH Ability,8,9,7,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100355,仓促,Hasty Touch,制作能力,DoH Ability,8,9,9,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100363,高速制作,Rapid Synthesis,制作能力,DoH Ability,8,9,9,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100010,观察,Observe,制作能力,DoH Ability,8,9,13,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100371,秘诀,Tricks of the Trade,制作能力,DoH Ability,8,9,13,CRP,刻木匠,Carpenter,False,True,False
Action,19297,崇敬,Veneration,制作能力,DoH Ability,8,9,15,CRP,刻木匠,Carpenter,False,True,False
Action,4631,俭约,Waste Not,制作能力,DoH Ability,8,9,15,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100004,中级加工,Standard Touch,制作能力,DoH Ability,8,9,18,CRP,刻木匠,Carpenter,False,True,False
Action,260,阔步,Great Strides,制作能力,DoH Ability,8,9,21,CRP,刻木匠,Carpenter,False,True,False
Action,19004,改革,Innovation,制作能力,DoH Ability,8,9,26,CRP,刻木匠,Carpenter,False,True,False
Action,19012,最终确认,Final Appraisal,制作能力,DoH Ability,8,9,42,CRP,刻木匠,Carpenter,False,True,False
Action,4639,长期俭约,Waste Not II,制作能力,DoH Ability,8,9,47,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100339,比尔格的祝福,Byregot's Blessing,制作能力,DoH Ability,8,9,50,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100128,集中加工,Precise Touch,制作能力,DoH Ability,8,9,53,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100379,坚信,Muscle Memory,制作能力,DoH Ability,8,9,54,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100395,设计变动,Careful Observation,制作能力,DoH Ability,8,9,55,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100203,模范制作,Careful Synthesis,制作能力,DoH Ability,8,9,62,CRP,刻木匠,Carpenter,False,True,False
Action,4574,掌握,Manipulation,制作能力,DoH Ability,8,9,65,CRP,刻木匠,Carpenter,False,True,False
CraftAction,100227,俭约加工,Prudent Touch,制作能力,DoH Ability,8,9,66,CRP,刻木匠,Carpenter,False,True,False
